user_id,id,track_name,rating,timestamp
U043,2plbrEY59IikOBgBGLjaoe,Die With A Smile,3,2026-01-05 17:48:06
U014,6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,4,2026-01-05 17:48:06
U013,7ne4VBA60CxGM75vw0EYad,That’s So True,5,2026-01-05 17:48:06
U048,1d7Ptw3qYcfpdLNL5REhtJ,Taste,1,2026-01-05 17:48:06
U014,5vNRhkKd0yEAg8suGBpjeY,APT.,2,2026-01-05 17:48:06
U023,0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",2,2026-01-05 17:48:06
U030,6MzofobZt2dm0Kf1hTThFz,Diet Pepsi,5,2026-01-05 17:48:06
U014,3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,4,2026-01-05 17:48:06
U031,0UYnhUfnUj5adChuAXvLUB,Sailor Song,4,2026-01-05 17:48:06
U007,1Es7AUAhQvapIcoh3qMKDL,Timeless (with Playboi Carti),5,2026-01-05 17:48:06
U049,3WOhcATHxK2SLNeP5W3v1v,Guess featuring billie eilish,1,2026-01-05 17:48:06
U001,5N3hjp1WNayUPZrA8kJmJP,Please Please Please,1,2026-01-05 17:48:06
U019,1f18HzFpegqvH4ibGJyeMJ,2 hands,3,2026-01-05 17:48:06
U005,2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),5,2026-01-05 17:48:06
U046,4xdBrk0nFZaP54vvZj0yx7,HOT TO GO!,2,2026-01-05 17:48:06
U008,19KlZwqlT3fguP2BeHF1Q1,Disease,1,2026-01-05 17:48:06
U032,5G345YEhvleYxQLfYUlEFv,Moonlit Floor (Kiss Me),4,2026-01-05 17:48:06
U013,7hR22TOX3RorxJPcsz5Wbo,Love Somebody,1,2026-01-05 17:48:06
U016,51rfRCiUSvxXlCSCfIztBy,"I Love You, I'm Sorry",2,2026-01-05 17:48:06
U010,1BJJbSX6muJVF2AK7uH1x4,Move,3,2026-01-05 17:48:06
U017,3tFed7YsjGnIfxeLEQwx3R,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)",2,2026-01-05 17:48:06
U049,2qSkIjg1o9h3YT9RAgYN75,Espresso,2,2026-01-05 17:48:06
U010,2CspwnypzT7rcWI9RfsoSb,Mantra,4,2026-01-05 17:48:06
U010,0l0vcZMU7AOeQmUIREoI2U,Qué Pasaría...,4,2026-01-05 17:48:06
U042,2c7z5oRcPBbqRaBY2mLWcf,NEW DROP,1,2026-01-05 17:48:06
U039,7221xIgOnuakPdLqT0F3nP,I Had Some Help (Feat. Morgan Wallen),5,2026-01-05 17:48:06
U007,4IadxL6BUymXlh8RCJJu7T,Too Sweet,3,2026-01-05 17:48:06
U029,3siwsiaEoU4Kuuc9WKMUy5,No One Noticed,1,2026-01-05 17:48:06
U011,1cOboCuWYI2osTOfolMRS6,Tu Boda,1,2026-01-05 17:48:06
U003,3Vr3zh0r7ALn8VLqCiRR10,Stargazing,1,2026-01-05 17:48:06
U030,4VI2Y5xg4gYynQqNQNQbTN,WHATCHU KNO ABOUT ME (with Sexyy Red),5,2026-01-05 17:48:06
U038,46kspZSY3aKmwQe7O77fCC,we can't be friends (wait for your love),2,2026-01-05 17:48:06
U041,6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,2,2026-01-05 17:48:06
U045,0qeIFEGRQqHoaJtLCl0U73,DEGENERE 👑 (feat. benny blanco),3,2026-01-05 17:48:06
U014,6aJn7Cst74cj4lNIiPRgav,Touch,1,2026-01-05 17:48:06
U004,17phhZDn6oGtzMe56NuWvj,Lose Control,4,2026-01-05 17:48:06
U007,5uQ7de4EWjb3rkcFxyEOpu,Belong Together,2,2026-01-05 17:48:06
U042,6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,4,2026-01-05 17:48:06
U029,3qhlB30KknSejmIvZZLjOD,End of Beginning,1,2026-01-05 17:48:06
U043,2OzhQlSqBEmt7hmkYxfT6m,Fortnight (feat. Post Malone),2,2026-01-05 17:48:06
U033,0Sr7ssScx54yxdM2ols7nW,Q U E V A S H A C E R H O Y ?,1,2026-01-05 17:48:06
U010,6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,5,2026-01-05 17:48:06
U046,4p7DTkyrKqT98xlIwYYfXz,Running Wild,3,2026-01-05 17:48:06
U050,3mg9jYNC1NihbthlglzrWP,+57,5,2026-01-05 17:48:06
U014,0io16MKpbeDIdYzmGpQaES,Embrace It,1,2026-01-05 17:48:06
U025,2PnlsTsOTLE5jnBnNe2K0A,The Emptiness Machine,2,2026-01-05 17:48:06
U033,7tI8dRuH2Yc6RuoTjxo4dU,Who,2,2026-01-05 17:48:06
U029,40riOy7x9W7GXjyGp4pjAv,Hotel California - 2013 Remaster,1,2026-01-05 17:48:06
U007,57bgtoPSgt236HzfBOd8kj,Thunderstruck,2,2026-01-05 17:48:06
U035,3dPQuX8Gs42Y7b454ybpMR,Seven Nation Army,2,2026-01-05 17:48:06
U020,70LcF31zb1H0PyJoS1Sx1r,Creep,4,2026-01-05 17:48:06
U048,4P5KoWXOxwuobLmHXLMobV,Come As You Are,4,2026-01-05 17:48:06
U009,48UPSzbZjgc449aqz8bxox,Californication,1,2026-01-05 17:48:06
U048,7snQQk1zcKl8gZ92AnueZW,Sweet Child O' Mine,3,2026-01-05 17:48:06
U014,63T7DJ1AFDD6Bn8VzG6JE8,"Paint It, Black",3,2026-01-05 17:48:06
U002,0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,4,2026-01-05 17:48:06
U017,5UWwZ5lm5PKu6eKsHAGxOk,Everlong,2,2026-01-05 17:48:06
U015,2Cdvbe2G4hZsnhNMKyGrie,I Love Rock 'N Roll,2,2026-01-05 17:48:06
U046,6zeE5tKyr8Nu882DQhhSQI,Dust in the Wind,2,2026-01-05 17:48:06
U033,4gMgiXfqyzZLMhsksGmbQV,"Another Brick in the Wall, Pt. 2",1,2026-01-05 17:48:06
U038,0X1sqQ652p1sceKM2nJlIJ,Runaway,5,2026-01-05 17:48:06
U048,6L89mwZXSOwYl76YXfX13s,Basket Case,2,2026-01-05 17:48:06
U027,3d9DChrdc6BOeFsbrZ3Is0,Under the Bridge,4,2026-01-05 17:48:06
U049,1gzIbdFnGJ226LTl0Cn2SX,White Wedding - Pt. 1,4,2026-01-05 17:48:06
U012,2SiXAy7TuUkycRVbbWDEpo,You Shook Me All Night Long,5,2026-01-05 17:48:06
U025,2PzU4IB8Dr6mxV3lHuaG34,(I Can't Get No) Satisfaction - Mono Version,5,2026-01-05 17:48:06
U023,0pQskrTITgmCMyr85tb9qq,Starman - 2012 Remaster,4,2026-01-05 17:48:06
U040,0hCB0YR03f6AmQaHbwWDe8,Whole Lotta Love - 1990 Remaster,2,2026-01-05 17:48:06
U017,14XWXWv5FoCbFzLksawpEe,Riders on the Storm,4,2026-01-05 17:48:06
U017,6QewNVIDKdSl8Y3ycuHIei,Even Flow,1,2026-01-05 17:48:06
U048,0dOg1ySSI7NkpAe89Zo0b9,Born in the U.S.A.,1,2026-01-05 17:48:06
U017,57iDDD9N9tTWe75x6qhStw,Bitter Sweet Symphony - Remastered 2016,4,2026-01-05 17:48:06
U023,2N2yrmodOnVF10mKvItC9P,Don't Cry (Original),5,2026-01-05 17:48:06
U035,2aoo2jlRnM3A0NyLQqMN2f,All Along the Watchtower,3,2026-01-05 17:48:06
U038,18AXbzPzBS8Y3AkgSxzJPb,In The Air Tonight - 2015 Remastered,3,2026-01-05 17:48:06
U004,1i6N76fftMZhijOzFQ5ZtL,Psycho Killer - 2005 Remaster,2,2026-01-05 17:48:06
U030,45Ia1U4KtIjAPPU7Wv1Sea,Are You Gonna Go My Way,4,2026-01-05 17:48:06
U049,54bm2e3tk8cliUz3VSdCPZ,Master of Puppets (Remastered),2,2026-01-05 17:48:06
U035,254bXAqt3zP6P50BdQvEsq,Everywhere - 2017 Remaster,3,2026-01-05 17:48:06
U042,2LawezPeJhN4AWuSB0GtAU,Have You Ever Seen The Rain,5,2026-01-05 17:48:06
U001,4alHo6RGd0D3OUbTPExTHN,Just What I Needed,4,2026-01-05 17:48:06
U012,5ghIJDpPoe3CfHMGu71E6T,Smells Like Teen Spirit,3,2026-01-05 17:48:06
U020,59WN2psjkt1tyaxjspN8fp,Killing In The Name,5,2026-01-05 17:48:06
U020,2EqlS6tkEnglzr7tkKAAYD,Come Together - Remastered 2009,2,2026-01-05 17:48:06
U007,4DMKwE2E2iYDKY01C335Uw,Carry on Wayward Son,5,2026-01-05 17:48:06
U040,1FTSo4v6BOZH9QxKc3MbVM,Song 2 - 2012 Remaster,5,2026-01-05 17:48:06
U021,7wCmS9TTVUcIhRalDYFgPy,Where Is My Mind? - 2007 Remaster,1,2026-01-05 17:48:06
U010,39shmbIHICJ2Wxnk1fPSdz,Should I Stay or Should I Go - Remastered,5,2026-01-05 17:48:06
U007,57JVGBtBLCfHw2muk5416J,Another One Bites The Dust - Remastered 2011,4,2026-01-05 17:48:06
U007,4VqPOruhp5EdPBeR92t6lQ,Uprising,1,2026-01-05 17:48:06
U030,1qRA5BS78u3gME0loMl9AA,For What It's Worth,4,2026-01-05 17:48:06
U030,0upLyFR8Rr52ZpMp5esQoq,You Really Got Me - 2015 Remaster,3,2026-01-05 17:48:06
U038,2EoOZnxNgtmZaD8uUmz2nD,Black Hole Sun,1,2026-01-05 17:48:06
U001,4YMQXzscifAREG0a7KNGhB,Black Magic Woman - Single Version,1,2026-01-05 17:48:06
U042,1OxcIUqVmVYxT6427tbhDW,Fly Away,2,2026-01-05 17:48:06
U020,1oYYd2gnWZYrt89EBXdFiO,Message In A Bottle,3,2026-01-05 17:48:06
U033,7Jh1bpe76CNTCgdgAdBw4Z,Heroes - 2017 Remaster,3,2026-01-05 17:48:06
U015,78lgmZwycJ3nzsdgmPPGNx,Immigrant Song - Remaster,4,2026-01-05 17:48:06
U032,2RlgNHKcydI9sayD2Df2xp,Mr. Blue Sky,4,2026-01-05 17:48:06
U012,08mG3Y1vljYA6bvDt4Wqkj,Back In Black,3,2026-01-05 17:48:06
U019,4KfSdst7rW39C0sfhArdrz,Barracuda,3,2026-01-05 17:48:06
U006,3gdewACMIVMEWVbyb8O9sY,"Rocket Man (I Think It's Going To Be A Long, Long Time)",3,2026-01-05 17:48:06
U043,11LmqTE2naFULdEP94AUBa,Heart-Shaped Box,4,2026-01-05 17:48:06
U008,6gXrEUzibufX9xYPk3HD5p,Life in the Fast Lane - 2013 Remaster,4,2026-01-05 17:48:06
U044,2374M0fQpWi3dLnB54qaLX,Africa,2,2026-01-05 17:48:06
U048,5QTxFnGygVM4jFQiBovmRo,(Don't Fear) The Reaper,3,2026-01-05 17:48:06
U025,5QLHGv0DfpeXLNFo7SFEy1,1979 - Remastered 2012,3,2026-01-05 17:48:06
U020,5HNCy40Ni5BZJFw1TKzRsC,Comfortably Numb,1,2026-01-05 17:48:06
U008,3qT4bUD1MaWpGrTwcvguhb,Black Dog - Remaster,5,2026-01-05 17:48:06
U045,6y20BV5L33R8YXM0YuI38N,No One Knows,3,2026-01-05 17:48:06
U049,4nXkbcTj3nyww1cHkw5RAP,Long Train Runnin',4,2026-01-05 17:48:06
U034,5PntSbMHC1ud6Vvl8x56qd,Loser,4,2026-01-05 17:48:06
U041,1fDsrQ23eTAVFElUMaf38X,American Pie,1,2026-01-05 17:48:06
U044,3EYOJ48Et32uATr9ZmLnAo,Roxanne,3,2026-01-05 17:48:06
U049,1HOMkjp0nHMaTnfAkslCQj,My Sharona,1,2026-01-05 17:48:06
U015,5p3JunprHCxClJjOmcLV8G,Walk On the Wild Side,5,2026-01-05 17:48:06
U034,43DeSV93pJPT4lCZaWZ6b1,The Boys Are Back In Town,3,2026-01-05 17:48:06
U039,2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,5,2026-01-05 17:48:06
U033,4U45aEWtQhrm8A5mxPaFZ7,Vienna,2,2026-01-05 17:48:06
U013,1L94M3KIu7QluZe63g64rv,Alive,5,2026-01-05 17:48:06
U034,6pPWRBubXOBAHnjl5ZIujB,The Best,3,2026-01-05 17:48:06
U035,0uppYCG86ajpV2hSR3dJJ0,Give It Away,2,2026-01-05 17:48:06
U022,6ORqU0bHbVCRjXm9AjyHyZ,Good Riddance (Time of Your Life),2,2026-01-05 17:48:06
U027,4gvea7UlDkAvsJBPZAd4oB,The Boys Of Summer,1,2026-01-05 17:48:06
U043,6ToM0uwxtPKo9CMpbPGYvM,Break on Through (To the Other Side),5,2026-01-05 17:48:06
U001,0Puj4YlTm6xNzDDADXHMI9,Sabotage,2,2026-01-05 17:48:06
U036,0PdM2a6oIjqepoEfcJo0RO,Pour Some Sugar On Me - Remastered 2017,4,2026-01-05 17:48:06
